INSPECTION_TYPE,JOB_TICKET_OR_WORK_ORDER_ID,JOB_ID,JOB_PROGRESS,BBL,BORO_CODE,BLOCK,LOT,HOUSE_NUMBER,STREET_NAME,ZIP_CODE,X_COORD,Y_COORD,LATITUDE,LONGITUDE,BOROUGH,INSPECTION_DATE,RESULT,APPROVED_DATE,LOCATION
BAIT,51,PO11817,3,1003770026,1,00377,0026,390,EAST 8 STREET,10009,990654,203066,40.7240436116555,-73.976895948583,Manhattan,11/16/2009 09:55:20 PM,Bait applied,11/19/2009 12:09:49 PM,"(40.7240436116555, -73.976895948583)"
BAIT,52,PO11077,3,1003890019,1,00389,0019,202,EAST 7 STREET,10009,989741,203281,40.7246343483455,-73.980189651703,Manhattan,11/16/2009 10:20:14 PM,Bait applied,11/23/2009 12:11:55 PM,"(40.7246343483455, -73.980189651703)"
BAIT,53,PO15241,3,1004590040,1,00459,0040,19,EAST 3 STREET,10003,986804,203770,40.7259778701156,-73.9907855310067,Manhattan,11/16/2009 09:25:46 PM,Bait applied,11/19/2009 12:04:34 PM,"(40.7259778701156, -73.9907855310067)"
BAIT,57,PO10580,3,1002100005,1,00210,0005,336,CANAL STREET,10013,983586,201500,40.7197476131092,-74.0023953936767,Manhattan,11/17/2009 12:00:29 PM,Bait applied,11/23/2009 12:16:37 PM,"(40.7197476131092, -74.0023953936767)"
BAIT,58,PO13111,3,1003920010,1,00392,0010,350,EAST 10 STREET,10009,989987,203999,40.726604927718,-73.9793015244998,Manhattan,11/17/2009 09:55:24 AM,Bait applied,11/23/2009 12:07:54 PM,"(40.726604927718, -73.9793015244998)"
BAIT,59,PO10759,3,1004290001,1,00429,0001,12,1 AVENUE,10009,987488,202831,40.7234003190272,-73.9883182080389,Manhattan,11/17/2009 10:30:04 AM,Bait applied,11/23/2009 02:11:19 PM,"(40.7234003190272, -73.9883182080389)"
BAIT,60,PO11965,3,1004420011,1,00442,0011,31,EAST 1 STREET,10003,986933,203069,40.7240537571041,-73.9903203968151,Manhattan,11/17/2009 11:02:47 AM,Bait applied,11/19/2009 08:10:36 AM,"(40.7240537571041, -73.9903203968151)"
BAIT,61,PO11019,3,1004470009,1,00447,0009,306,EAST 6 STREET,10003,987552,204216,40.7272017839871,-73.9880866345106,Manhattan,11/17/2009 09:20:23 AM,Bait applied,11/19/2009 08:21:54 AM,"(40.7272017839871, -73.9880866345106)"
BAIT,63,PO10782,3,1019180023,1,01918,0023,119,WEST 133 STREET,10030,1000136,235540,40.8131643309274,-73.9426104832865,Manhattan,11/18/2009 09:15:05 AM,Bait applied,11/19/2009 12:13:18 PM,"(40.8131643309274, -73.9426104832865)"
BAIT,66,PO10165,3,1020690042,1,02069,0042,880,ST NICHOLAS AVENUE,10032,1000384,241691,40.8300466340453,-73.941699773442,Manhattan,11/18/2009 09:55:02 AM,Bait applied,11/19/2009 12:16:57 PM,"(40.8300466340453, -73.941699773442)"
BAIT,73,PO13732,3,1021110099,1,02111,0099,446,WEST 167 STREET,10032,1001797,244793,40.8385580327087,-73.936585783534,Manhattan,11/20/2009 01:13:12 PM,Bait applied,11/23/2009 11:03:56 AM,"(40.8385580327087, -73.936585783534)"
BAIT,77,PO13369,3,1021310035,1,02131,0035,534,WEST 175 STREET,10033,1002298,247020,40.844669486257,-73.9347691952077,Manhattan,11/20/2009 09:15:56 AM,Bait applied,11/23/2009 11:12:45 AM,"(40.844669486257, -73.9347691952077)"
BAIT,84,PO12817,3,1004510053,1,00451,0053,317,EAST 9 STREET,10003,987961,204844,40.7289253286763,-73.9866106472347,Manhattan,11/20/2009 09:23:04 AM,Bait applied,11/23/2009 12:04:48 PM,"(40.7289253286763, -73.9866106472347)"
BAIT,85,PO14758,3,1004540031,1,00454,0031,342,EAST 13 STREET,10003,988579,205673,40.7312004499725,-73.9843803591535,Manhattan,11/20/2009 09:50:22 AM,Bait applied,11/23/2009 11:28:57 AM,"(40.7312004499725, -73.9843803591535)"
BAIT,88,PO11791,3,1014680033,1,01468,0033,486,EAST 74 STREET,10021,997179,219224,40.768386131078,-73.9533243006866,Manhattan,11/20/2009 10:35:30 PM,Bait applied,11/23/2009 11:33:28 AM,"(40.768386131078, -73.9533243006866)"
BAIT,90,PO11841,3,1015570034,1,01557,0034,332,EAST 95 STREET,10128,999013,224617,40.7831856237632,-73.946691428707,Manhattan,11/20/2009 11:25:55 AM,Bait applied,11/23/2009 11:34:22 AM,"(40.7831856237632, -73.946691428707)"
BAIT,91,PO11717,3,1016140013,1,01614,0013,21,EAST 108 STREET,10029,998291,229005,40.7952306804656,-73.9492893669947,Manhattan,11/20/2009 12:10:31 PM,Bait applied,11/23/2009 11:51:49 AM,"(40.7952306804656, -73.9492893669947)"
BAIT,101,PO14335,3,1011290002,1,01129,0002,57,WEST 76 STREET,10023,991001,223260,40.7794707699529,-73.9756237844939,Manhattan,11/23/2009 10:55:40 AM,Bait applied,11/24/2009 03:54:45 PM,"(40.7794707699529, -73.9756237844939)"
BAIT,103,PO10576,3,1011540101,1,01154,0101,249,WEST 62 STREET,10023,987539,221028,40.77334648331,-73.9881253149363,Manhattan,11/23/2009 09:55:08 AM,Bait applied,11/24/2009 03:57:02 PM,"(40.77334648331, -73.9881253149363)"
BAIT,105,PO12629,3,1011650005,1,01165,0005,269,WEST 73 STREET,10023,988921,223504,40.7801418293715,-73.9831339876533,Manhattan,11/23/2009 10:30:25 AM,Bait applied,11/24/2009 04:00:12 PM,"(40.7801418293715, -73.9831339876533)"
BAIT,109,PO17803,3,2024280024,2,02428,0024,1065,CLAY AVENUE,10456,1008442,241387,40.8288452700069,-73.9125873654197,Bronx,11/24/2009 11:21:57 AM,Bait applied,11/24/2009 03:23:57 PM,"(40.8288452700069, -73.9125873654197)"
BAIT,124,PO22125,3,2048240042,2,04824,0042,627,EAST 222 STREET,10467,1021891,262252,40.8864148707381,-73.8638688327901,Bronx,11/24/2009 12:13:08 PM,Bait applied,11/24/2009 03:10:41 PM,"(40.8864148707381, -73.8638688327901)"
BAIT,133,PO11607,3,1021230054,1,02123,0054,516,WEST 167 STREET,10032,1001386,245168,40.8395881055178,-73.9380701638764,Manhattan,11/24/2009 01:50:52 PM,Bait applied,11/24/2009 04:09:12 PM,"(40.8395881055178, -73.9380701638764)"
BAIT,140,PO11874,3,1019380043,1,01938,0043,208,WEST 133 STREET,10030,999389,235945,40.8142772543519,-73.945308169666,Manhattan,11/24/2009 11:05:46 AM,Bait applied,11/25/2009 09:04:11 AM,"(40.8142772543519, -73.945308169666)"
BAIT,145,PO14335,4,1011290002,1,01129,0002,57,WEST 76 STREET,10023,991001,223260,40.7794707699529,-73.9756237844939,Manhattan,11/25/2009 11:20:49 AM,Bait applied,11/27/2009 12:08:52 PM,"(40.7794707699529, -73.9756237844939)"
BAIT,146,PO10576,4,1011540101,1,01154,0101,249,WEST 62 STREET,10023,987539,221028,40.77334648331,-73.9881253149363,Manhattan,11/25/2009 10:05:47 AM,Bait applied,11/27/2009 12:11:04 PM,"(40.77334648331, -73.9881253149363)"
BAIT,147,PO12629,4,1011650005,1,01165,0005,269,WEST 73 STREET,10023,988921,223504,40.7801418293715,-73.9831339876533,Manhattan,11/25/2009 10:45:30 AM,Bait applied,11/27/2009 12:13:10 PM,"(40.7801418293715, -73.9831339876533)"
BAIT,157,PO10337,3,1022270029,1,02227,0029,232,SHERMAN AVENUE,10034,1006453,254761,40.8659067422941,-73.9197261659279,Manhattan,11/25/2009 11:30:42 AM,Bait applied,11/27/2009 12:13:59 PM,"(40.8659067422941, -73.9197261659279)"
BAIT,162,PO11417,3,1020710027,1,02071,0027,504,WEST 140 STREET,10031,998017,238833,40.8222062457666,-73.9502587928229,Manhattan,11/25/2009 11:34:17 PM,Bait applied,11/27/2009 12:26:54 PM,"(40.8222062457666, -73.9502587928229)"
BAIT,164,PO10995,3,1020760018,1,02076,0018,537,WEST 144 STREET,10031,998306,239865,40.8250383374871,-73.9492124524629,Manhattan,11/25/2009 01:15:29 PM,Bait applied,11/27/2009 12:30:50 PM,"(40.8250383374871, -73.9492124524629)"
BAIT,168,PO15634,3,2028920009,2,02892,0009,1808,ANTHONY AVENUE,10457,1010861,247629,40.8463193575718,-73.9038175870699,Bronx,11/30/2009 11:41:35 AM,Bait applied,11/30/2009 01:05:51 PM,"(40.8463193575718, -73.9038175870699)"
BAIT,170,PO10742,3,2043190015,2,04319,0015,2186,CRUGER AVENUE,10462,1021143,251170,40.8560013683523,-73.866635039132,Bronx,11/30/2009 10:38:51 AM,Bait applied,12/01/2009 09:44:19 AM,"(40.8560013683523, -73.866635039132)"
BAIT,171,PO17653,3,2043200042,2,04320,0042,2181,WALLACE AVENUE,10462,1021657,251121,40.8558647153107,-73.8647772505563,Bronx,11/30/2009 11:11:19 AM,Bait applied,12/01/2009 09:43:49 AM,"(40.8558647153107, -73.8647772505563)"
BAIT,172,PO17630,3,2045040412,2,04504,0412,1806,EAST GUN HILL ROAD,10469,1030155,254101,40.8640038091944,-73.834037445496,Bronx,11/30/2009 12:22:36 PM,Bait applied,12/07/2009 08:33:09 AM,"(40.8640038091944, -73.834037445496)"
BAIT,175,PO22125,4,2048240042,2,04824,0042,627,EAST 222 STREET,10467,1021891,262252,40.8864148707381,-73.8638688327901,Bronx,11/30/2009 11:48:55 AM,Bait applied,12/07/2009 08:36:59 AM,"(40.8864148707381, -73.8638688327901)"
BAIT,178,PO14937,3,1014060012,1,01406,0012,127,EAST 71 STREET,10021,994400,219820,40.7700256234917,-73.9633560211574,Manhattan,11/30/2009 09:44:21 AM,Bait applied,11/30/2009 03:38:01 PM,"(40.7700256234917, -73.9633560211574)"
BAIT,182,PO11640,3,1017500044,1,01750,0044,58,EAST 126 STREET,10035,1000950,233002,40.8061967251548,-73.9396761544968,Manhattan,11/30/2009 11:20:42 AM,Bait applied,11/30/2009 03:41:58 PM,"(40.8061967251548, -73.9396761544968)"
BAIT,188,PO28698,3,1011500010,1,01150,0010,153,WEST 78 STREET,10024,990493,224144,40.7818974891994,-73.9774572271653,Manhattan,12/01/2009 11:40:14 AM,Bait applied,12/02/2009 01:25:00 PM,"(40.7818974891994, -73.9774572271653)"
BAIT,189,PO28696,3,1011500011,1,01150,0011,151,WEST 78 STREET,10024,990504,224138,40.7818810130151,-73.9774175129861,Manhattan,12/01/2009 12:00:10 PM,Bait applied,12/02/2009 01:25:56 PM,"(40.7818810130151, -73.9774175129861)"
BAIT,192,PO11607,4,1021230054,1,02123,0054,516,WEST 167 STREET,10032,1001386,245168,40.8395881055178,-73.9380701638764,Manhattan,12/01/2009 11:25:41 PM,Bait applied,12/02/2009 01:29:44 PM,"(40.8395881055178, -73.9380701638764)"
BAIT,193,PO15400,3,1020880038,1,02088,0038,610,WEST 141 STREET,10031,997302,239524,40.824103930119,-73.9528407970262,Manhattan,12/01/2009 01:19:58 PM,Bait applied,12/02/2009 01:30:51 PM,"(40.824103930119, -73.9528407970262)"
BAIT,199,PO16428,3,2032080031,2,03208,0031,2250,AQUEDUCT AVENUE,10453,1009903,252202,40.8588737119502,-73.9072626673015,Bronx,12/02/2009 09:50:47 AM,Bait applied,12/07/2009 08:40:34 AM,"(40.8588737119502, -73.9072626673015)"
BAIT,200,PO12863,3,4012420022,4,01242,0022,33-34,70 STREET,11372,1012966,213776,40.7533955947211,-73.8963540872997,Queens,12/03/2009 01:05:28 PM,Bait applied,12/09/2009 10:42:22 AM,"(40.7533955947211, -73.8963540872997)"
BAIT,201,PO10985,3,4014690050,4,01469,0050,35-51,95 STREET,11372,1019565,213555,40.7527651129745,-73.872537219612,Queens,12/03/2009 11:12:17 AM,Bait applied,12/14/2009 09:44:37 AM,"(40.7527651129745, -73.872537219612)"
BAIT,202,PO12163,3,4095870017,4,09587,0017,104-36,134 STREET,11419,1036263,191009,40.6907994771446,-73.8124433519563,Queens,12/03/2009 12:21:47 PM,Bait applied,12/09/2009 10:44:47 AM,"(40.6907994771446, -73.8124433519563)"
BAIT,205,PO28701,3,1012300025,1,01230,0025,209,WEST 82 STREET,10024,990522,225382,40.7852954492163,-73.9773513556123,Manhattan,12/04/2009 02:09:10 PM,Bait applied,12/07/2009 09:29:37 AM,"(40.7852954492163, -73.9773513556123)"
BAIT,212,PO15055,3,1020740033,1,02074,0033,135,HAMILTON PLACE,10031,998353,239477,40.8239733129332,-73.94904344626,Manhattan,12/04/2009 11:01:25 PM,Bait applied,12/07/2009 09:40:26 AM,"(40.8239733129332, -73.94904344626)"
BAIT,214,PO18421,3,2037140030,2,03714,0030,1072,ELDER AVENUE,10472,1017905,239977,40.8252928125684,-73.8783962790025,Bronx,12/07/2009 11:35:18 AM,Bait applied,12/07/2009 12:34:57 PM,"(40.8252928125684, -73.8783962790025)"
BAIT,215,PO10162,3,2037150030,2,03715,0030,1056,BOYNTON AVENUE,10472,1018178,239931,40.8251655113526,-73.8774100973255,Bronx,12/07/2009 11:21:38 AM,Bait applied,12/07/2009 12:35:10 PM,"(40.8251655113526, -73.8774100973255)"
BAIT,220,PO10397,3,2037430030,2,03743,0030,1156,MANOR AVENUE,10472,1018530,240919,40.8278759280605,-73.8761331916312,Bronx,12/07/2009 11:04:37 AM,Bait applied,12/07/2009 12:33:57 PM,"(40.8278759280605, -73.8761331916312)"
BAIT,221,PO15801,3,2037430031,2,03743,0031,1158,MANOR AVENUE,10472,1018578,241058,40.8282631022575,-73.8759602111912,Bronx,12/07/2009 11:01:33 AM,Bait applied,12/07/2009 12:34:42 PM,"(40.8282631022575, -73.8759602111912)"
BAIT,222,PO15095,3,2038630012,2,03863,0012,1314,ELDER AVENUE,10472,1017492,242294,40.8316538733756,-73.8798770663794,Bronx,12/07/2009 11:44:32 AM,Bait applied,12/07/2009 12:34:18 PM,"(40.8316538733756, -73.8798770663794)"
BAIT,224,PO10742,4,2043190015,2,04319,0015,2186,CRUGER AVENUE,10462,1021143,251170,40.8560013683523,-73.866635039132,Bronx,12/07/2009 11:30:42 AM,Bait applied,12/07/2009 03:07:55 PM,"(40.8560013683523, -73.866635039132)"
BAIT,225,PO17653,4,2043200042,2,04320,0042,2181,WALLACE AVENUE,10462,1021657,251121,40.8558647153107,-73.8647772505563,Bronx,12/07/2009 12:00:47 PM,Bait applied,12/07/2009 03:08:07 PM,"(40.8558647153107, -73.8647772505563)"
BAIT,226,PO22125,5,2048240042,2,04824,0042,627,EAST 222 STREET,10467,1021891,262252,40.8864148707381,-73.8638688327901,Bronx,12/07/2009 01:27:19 PM,Bait applied,12/07/2009 03:04:23 PM,"(40.8864148707381, -73.8638688327901)"
BAIT,228,PO19787,3,2043190030,2,04319,0030,2199,HOLLAND AVENUE,10462,1021400,251293,40.8563378885195,-73.865705326447,Bronx,12/07/2009 11:20:40 AM,Bait applied,12/07/2009 03:08:21 PM,"(40.8563378885195, -73.865705326447)"
BAIT,229,PO13489,3,2045040411,2,04504,0411,1800,GUN HILL ROAD,10469,1030128,254121,40.864058843405,-73.8341349227485,Bronx,12/07/2009 12:38:38 PM,Bait applied,12/07/2009 03:07:43 PM,"(40.864058843405, -73.8341349227485)"
BAIT,232,PO39075,1,4011650045,4,01165,0045,6919,NORTHERN BOULEVARD,11377,1012723,214112,40.7543246599076,-73.8972319234064,Queens,12/07/2009 02:30:54 PM,Bait applied,12/09/2009 10:37:17 AM,"(40.7543246599076, -73.8972319234064)"
BAIT,234,PO15386,3,1003450020,1,00345,0020,159,RIDGE STREET,10002,989114,201749,40.7204297458774,-73.982452840106,Manhattan,12/07/2009 10:45:52 PM,Bait applied,12/08/2009 10:52:59 AM,"(40.7204297458774, -73.982452840106)"
BAIT,235,PO13857,3,1003530057,1,00353,0057,122,NORFOLK STREET,10002,987882,201326,40.7192693043524,-73.9868975791748,Manhattan,12/07/2009 12:05:54 PM,Bait applied,12/08/2009 10:54:21 AM,"(40.7192693043524, -73.9868975791748)"
BAIT,237,PO13839,3,1004120010,1,00412,0010,190,ORCHARD STREET,10002,987532,202366,40.7221239903094,-73.9881596951899,Manhattan,12/07/2009 10:15:20 PM,Bait applied,12/08/2009 11:00:36 AM,"(40.7221239903094, -73.9881596951899)"
BAIT,238,PO14824,3,1005910049,1,00591,0049,78,CHRISTOPHER STREET,10014,983253,206508,40.733493323144,-74.0035974399873,Manhattan,12/07/2009 09:10:42 PM,Bait applied,12/08/2009 11:28:00 AM,"(40.733493323144, -74.0035974399873)"
BAIT,240,PO27195,3,1019930092,1,01993,0092,3163,BROADWAY,10027,995582,236078,40.8146480058407,-73.9590612817043,Manhattan,12/07/2009 11:50:11 AM,Bait applied,12/08/2009 11:29:45 AM,"(40.8146480058407, -73.9590612817043)"
BAIT,241,PO15502,3,1020019005,1,02001,9005,3333D,BROADWAY,10031,996625,237964,40.8198231463114,-73.9552897952248,Manhattan,12/07/2009 11:30:48 AM,Bait applied,12/08/2009 11:25:44 AM,"(40.8198231463114, -73.9552897952248)"
BAIT,243,PO13977,3,1021180043,1,02118,0043,509,WEST 159 STREET,10032,1000388,243263,40.8343613138069,-73.9416815376611,Manhattan,12/07/2009 10:45:14 AM,Bait applied,12/08/2009 11:30:56 AM,"(40.8343613138069, -73.9416815376611)"
BAIT,244,PO14611,3,1021380102,1,02138,0102,600,WEST 169 STREET,10032,1000923,245989,40.8418423969763,-73.939741413225,Manhattan,12/07/2009 09:30:34 AM,Bait applied,12/08/2009 11:13:19 AM,"(40.8418423969763, -73.939741413225)"
BAIT,247,PO13965,3,1021770100,1,02177,0100,461,FORT WASHINGTON AVENUE,10033,1001286,249179,40.8505973138548,-73.9384213754959,Manhattan,12/07/2009 09:50:07 AM,Bait applied,12/08/2009 11:34:38 AM,"(40.8505973138548, -73.9384213754959)"
BAIT,249,PO28701,4,1012300025,1,01230,0025,209,WEST 82 STREET,10024,990522,225382,40.7852954492163,-73.9773513556123,Manhattan,12/07/2009 09:56:48 PM,Bait applied,12/08/2009 10:49:08 AM,"(40.7852954492163, -73.9773513556123)"
BAIT,253,PO28715,3,1015000058,1,01500,0058,22,EAST 89 STREET,10128,995875,224563,40.7830420926184,-73.9580227060307,Manhattan,12/07/2009 12:48:31 PM,Bait applied,12/08/2009 11:44:16 AM,"(40.7830420926184, -73.9580227060307)"
BAIT,254,PO13337,3,1016760034,1,01676,0034,340,EAST 105 STREET,10029,1000338,226921,40.7895071742412,-73.9419013928706,Manhattan,12/07/2009 11:22:02 PM,Bait applied,12/08/2009 11:22:47 AM,"(40.7895071742412, -73.9419013928706)"
BAIT,258,PO11149,3,4015120026,4,01512,0026,88-35,ELMHURST AVENUE,11373,1018204,211224,40.7463724429376,-73.8774612531592,Queens,12/08/2009 12:02:32 PM,Bait applied,12/09/2009 10:47:09 AM,"(40.7463724429376, -73.8774612531592)"
BAIT,260,PO12156,3,4019430026,4,01943,0026,103-52,52 AVENUE,11368,1023711,209632,40.7419799473943,-73.8575960639267,Queens,12/08/2009 10:28:36 AM,Bait applied,12/09/2009 10:06:48 AM,"(40.7419799473943, -73.8575960639267)"
BAIT,262,PO10716,3,4001640005,4,00164,0005,45-25,45 STREET,11104,1006479,209784,40.742457251049,-73.9197810795244,Queens,12/08/2009 03:12:48 PM,Bait applied,12/09/2009 10:43:03 AM,"(40.742457251049, -73.9197810795244)"
BAIT,265,PO23164,3,2033560003,2,03356,0003,275,EAST GUNHILL ROAD,10467,1018785,259712,40.8794560721715,-73.8751149677446,Bronx,12/09/2009 12:22:07 PM,Bait applied,12/09/2009 01:42:49 PM,"(40.8794560721715, -73.8751149677446)"
BAIT,269,PO16097,3,2027950032,2,02795,0032,1769,EASTBURN AVENUE,10457,1009598,247509,40.8459995054041,-73.9083857326998,Bronx,12/11/2009 10:59:35 AM,Bait applied,12/11/2009 02:47:36 PM,"(40.8459995054041, -73.9083857326998)"
BAIT,270,PO15000,3,2027950038,2,02795,0038,1755,EASTBURN AVENUE,10457,1009516,247423,40.8457636964658,-73.9086824488903,Bronx,12/11/2009 11:47:43 AM,Bait applied,12/11/2009 02:48:01 PM,"(40.8457636964658, -73.9086824488903)"
BAIT,271,PO14999,3,2027960013,2,02796,0013,1758,EASTBURN AVENUE,10457,1009669,247451,40.8458401088835,-73.9081293203551,Bronx,12/11/2009 11:25:12 AM,Bait applied,12/11/2009 02:48:48 PM,"(40.8458401088835, -73.9081293203551)"
BAIT,273,PO15787,3,2027970007,2,02797,0007,1738,WEEKS AVENUE,10457,1009910,247244,40.8452712595464,-73.9072590108776,Bronx,12/11/2009 10:06:31 AM,Bait applied,12/11/2009 02:49:41 PM,"(40.8452712595464, -73.9072590108776)"
BAIT,275,PO16685,3,2028140008,2,02814,0008,304,ECHO PLACE,10457,1011144,248732,40.8493516953334,-73.9027927513862,Bronx,12/11/2009 12:27:14 PM,Bait applied,12/11/2009 02:58:58 PM,"(40.8493516953334, -73.9027927513862)"
BAIT,277,PO18561,3,2028140048,2,02814,0048,1952,ANTHONY AVENUE,10457,1011213,249009,40.8501117654105,-73.9025422217063,Bronx,12/11/2009 12:35:11 PM,Bait applied,12/11/2009 02:45:51 PM,"(40.8501117654105, -73.9025422217063)"
BAIT,278,PO18560,3,2028140049,2,02814,0049,1954,ANTHONY AVENUE,10457,1011187,249036,40.8501859515262,-73.9026360970243,Bronx,12/11/2009 12:41:36 PM,Bait applied,12/11/2009 02:59:58 PM,"(40.8501859515262, -73.9026360970243)"
BAIT,280,PO33194,3,2028280024,2,02828,0024,66,EAST TREMONT AVENUE,10453,1009728,249215,40.8506815823441,-73.9079093600116,Bronx,12/11/2009 12:52:40 PM,Bait applied,12/11/2009 03:01:49 PM,"(40.8506815823441, -73.9079093600116)"
BAIT,285,PO16857,3,2031980012,2,03198,0012,2306,GRAND AVENUE,10468,1010573,252768,40.8604309952003,-73.9048409082419,Bronx,12/11/2009 11:46:41 AM,Bait applied,12/11/2009 02:57:03 PM,"(40.8604309952003, -73.9048409082419)"
BAIT,286,PO16862,3,2031980013,2,03198,0013,2308,GRAND AVENUE,10468,1010649,252740,40.8603539169529,-73.9045662540194,Bronx,12/11/2009 11:42:59 AM,Bait applied,12/11/2009 02:57:19 PM,"(40.8603539169529, -73.9045662540194)"
BAIT,288,PO16195,3,2031990075,2,03199,0075,2424,DAVIDSON AVENUE,10468,1011212,253401,40.8621664551823,-73.902528170767,Bronx,12/11/2009 11:57:38 AM,Bait applied,12/11/2009 03:06:27 PM,"(40.8621664551823, -73.902528170767)"
BAIT,289,PO16853,3,2032090044,2,03209,0044,58,WEST 184 STREET,10468,1010584,253105,40.8613559228051,-73.9047998155833,Bronx,12/11/2009 11:18:31 AM,Bait applied,12/11/2009 02:57:47 PM,"(40.8613559228051, -73.9047998155833)"
BAIT,290,PO30862,3,2032120015,2,03212,0015,2272,DR M L KING JR BLVD,10468,1010007,252660,40.8601362381353,-73.906887595856,Bronx,12/11/2009 11:01:27 AM,Bait applied,12/11/2009 03:02:43 PM,"(40.8601362381353, -73.906887595856)"
BAIT,292,PO23163,3,2032820048,2,03282,0048,2661,DECATUR AVENUE,10458,1014804,254119,40.8641196934684,-73.8895364984889,Bronx,12/11/2009 12:07:20 PM,Bait applied,12/11/2009 03:08:29 PM,"(40.8641196934684, -73.8895364984889)"
BAIT,293,PO19462,3,2027920014,2,02792,0014,1665,MONROE AVENUE,10457,1009964,246576,40.8433904487033,-73.9067891028424,Bronx,12/14/2009 11:40:06 AM,Bait applied,12/15/2009 08:56:06 AM,"(40.8433904487033, -73.9067891028424)"
BAIT,294,PO20834,3,2027960038,2,02796,0038,1775,WEEKS AVENUE,10457,1009777,247592,40.8462619427586,-73.9074465113884,Bronx,12/14/2009 10:59:49 AM,Bait applied,12/15/2009 08:59:29 AM,"(40.8462619427586, -73.9074465113884)"
BAIT,295,PO20835,3,2027960039,2,02796,0039,1773,WEEKS AVENUE,10457,1009806,247554,40.8462399851237,-73.9074465419394,Bronx,12/14/2009 10:52:40 AM,Bait applied,12/15/2009 08:41:13 AM,"(40.8462399851237, -73.9074465419394)"
BAIT,298,PO20815,3,2027970025,2,02797,0025,1790,WEEKS AVENUE,10457,1009944,247707,40.846440316633,-73.9074065048775,Bronx,12/14/2009 11:06:32 AM,Bait applied,12/15/2009 09:01:25 AM,"(40.846440316633, -73.9074065048775)"
BAIT,304,PO16095,3,2028000008,2,02800,0008,1824,WEEKS AVENUE,10457,1009891,247976,40.8472804327866,-73.9073248871639,Bronx,12/14/2009 10:22:14 AM,Bait applied,12/15/2009 08:47:33 AM,"(40.8472804327866, -73.9073248871639)"
BAIT,306,PO15795,3,2028000064,2,02800,0064,236,EAST 176 STREET,10457,1010478,247997,40.8473363473624,-73.9052030302841,Bronx,12/14/2009 10:03:34 AM,Bait applied,12/15/2009 08:48:15 AM,"(40.8473363473624, -73.9052030302841)"
