"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-01-11","4.0"," 1035"," 1034","2.3","0.0","0.0",,"1.7","-3.9","  320","  320","10.7","12.5","    1",,,,"    1",,,,,,,"    1","    1","    1",,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-01-12","3.4"," 1006"," 0953","0.0","0.0","0.0",,"1.1","-6.1","  310","  310","8.9","10.7",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-01-13","3.6"," 1201"," 1200","0.0","0.0","0.0",,"4.4","-3.9","  170","  170","8.9","10.7",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-01-14","6.6"," 0223"," 0221","0.0","0.0","0.0",,"2.8","-7.8","  320","  320","14.3","17.4",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-01-15","5.5"," 0930"," 1817","0.8","23.0","0.0",,"-4.4","-10.0","   20","  300","9.4","10.7",,,,,,,,"    1",,,,,,"    1",,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-01-16","6.4"," 1749"," 1118","0.0","0.0","25.0",,"-7.2","-11.7","  290","  310","9.4","10.7",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-01-17","3.4"," 2147"," 2144","0.0","0.0","25.0",,"-5.0","-13.9","  220","  230","7.2","8.0",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-01-18","2.3"," 1802"," 1657","5.1","46.0","25.0",,"0.6","-5.0","   50","   70","4.5","5.8","    1",,,,,,"    1","    1",,,"    1",,,"    1",,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-01-19","2.0"," 2348"," 2342","1.3","20.0","51.0",,"0.0","-6.7","  290","  290","6.7","7.6","    1",,,,,,"    1","    1",,,"    1",,,"    1",,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-01-20","5.8"," 1442"," 1512","0.0","0.0","51.0",,"-1.7","-6.1","  350","  360","9.8","11.6",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-01-21","6.7"," 1850"," 1849","0.0","0.0","51.0",,"-2.8","-8.3","  270","  260","9.8","11.2",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-01-22","6.0"," 1432"," 1423","0.0","0.0","25.0",,"2.8","-6.1","  250","  260","10.3","11.6",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-01-23","3.8"," 1735"," 1734","0.0","0.0","25.0",,"5.6","-3.9","  170","  180","9.8","11.6",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-01-24","8.4"," 1250"," 1304","0.0","0.0","0.0",,"6.7","-8.3","  310","  310","13.9","16.1",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-01-25","4.9"," 0147"," 0150","0.0","0.0","0.0",,"-1.7","-9.4","  320","  320","9.8","10.7",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-01-26","4.2"," 2253"," 2252","0.0","0.0","0.0",,"-1.7","-6.7","  260","  260","6.7","7.2",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-01-27","3.0"," 0431"," 0909","0.0","0.0","0.0",,"-0.6","-2.8","  360","  310","7.2","8.0",,,,,,,,,,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-01-28","6.1"," 2115"," 2049","22.4","58.0","51.0",,"5.6","-3.9","  260","  250","12.5","17.4","    1","    1",,"    1","    1","    1",,,"    1",,,"    1",,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-01-29","6.4"," 0136"," 0018","0.0","0.0","0.0",,"2.8","-2.2","  300","  270","13.0","16.1",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-01-30","5.1"," 2240"," 2239","0.0","0.0","0.0",,"2.2","-3.9","  270","  270","10.7","13.4",,,,,,,,"    1",,,,,,"    1",,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-01-31","7.2"," 0954"," 0907","0.0","0.0","0.0",,"-1.1","-5.6","  300","  280","11.2","13.4",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-02-01","4.6"," 1603"," 1615","0.0","0.0","0.0",,"10.0","-2.2","  230","  240","7.6","9.4",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-02-02","3.1"," 2105"," 2012","0.0","0.0","0.0",,"11.7","0.0","  360","  360","9.8","11.6",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-02-03","6.5"," 0526"," 0919","9.7","102.0","0.0",,"2.8","-3.3","  360","   10","10.3","13.0","    1",,,,,,,,,,"    1",,,"    1",,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-02-04","5.7"," 2311"," 2036","0.0","0.0","25.0",,"-1.1","-8.3","  320","  330","10.7","13.0",,,,,,,,,,,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-02-05","8.0"," 1957"," 1957","0.0","0.0","25.0",,"-4.4","-11.1","  310","  310","11.6","13.9",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-02-06","3.7"," 2359"," 2359","0.0","0.0","25.0",,"-1.1","-8.9","  310","  310","7.6","9.4",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-02-07","3.0"," 1800"," 1801","0.0","0.0","25.0",,"6.1","-7.2","  170","  170","7.6","9.4",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-02-08","7.2"," 1607"," 1607","0.0","0.0","0.0",,"16.1","2.8","  320","  320","12.5","14.8",,,,,"    1",,,,,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-02-09","4.6"," 0149"," 0148","0.0","0.0","0.0",,"8.3","0.0","  310","  310","10.3","13.0",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-02-10","1.9"," 1443"," 1442","0.0","0.0","0.0",,"9.4","-1.1","  160","  160","7.2","8.9",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-02-11","3.1"," 1909"," 1909","0.5","0.0","0.0",,"16.7","3.3","  180","  180","8.9","9.8","    1",,,,"    1",,"    1","    1",,,"    1",,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-02-12","11.9"," 1227"," 1226","1.3","0.0","0.0",,"12.8","7.2","  260","  260","20.6","24.6","    1",,,,,,,,,,"    1",,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-02-13","9.8"," 0839"," 0828","0.0","0.0","0.0",,"7.8","0.0","  310","  310","14.3","18.3",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-02-14","5.5"," 0010"," 0009","0.0","0.0","0.0",,"6.1","-2.2","  310","  310","11.2","13.4",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-02-15","6.0"," 1054"," 0815","0.0","0.0","0.0",,"6.7","-1.7","  320","  320","9.4","11.2",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-02-16","5.1"," 0952"," 0952","0.0","0.0","0.0",,"5.0","-2.2","  360","  360","8.0","10.3",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-02-17","4.5"," 0437"," 0548","0.0","0.0","0.0",,"5.6","-3.3","  360","  360","8.9","10.3",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-02-18","5.6"," 1305"," 1304","8.6","0.0","0.0",,"6.1","-2.8","  170","  170","13.0","16.1","    1",,,,"    1",,,,,,"    1","    1",,"    1",,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-02-19","7.6"," 2032"," 2027","0.8","0.0","0.0",,"10.6","-2.2","  280","  290","16.1","19.7","    1",,,,"    1",,,,,,"    1","    1",,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-02-20","10.4"," 0935"," 1016","0.0","0.0","0.0",,"1.7","-4.4","  270","  260","15.6","19.2",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-02-21","7.2"," 0307"," 0307","0.0","0.0","0.0",,"5.0","-2.8","  260","  270","11.6","13.9",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-02-22","6.8"," 2326"," 2316","3.8","0.0","0.0",,"7.2","0.0","  290","  290","14.3","17.9","    1",,,,"    1",,,,,,"    1",,,"    1",,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-02-23","10.2"," 1910"," 1909","0.0","0.0","0.0",,"2.2","-3.9","  310","  310","15.6","18.3",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-02-24","7.5"," 2357"," 0020","0.0","0.0","0.0",,"3.3","-5.0","  300","  310","13.0","17.0",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-02-25","3.6"," 2308"," 2242","0.0","0.0","0.0",,"3.3","-4.4","  190","  180","6.7","8.9",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-02-26","3.9"," 1909"," 1906","0.0","0.0","0.0",,"8.3","-1.1","  180","  180","6.3","7.2",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-02-27","9.3"," 1639"," 1639","0.3","0.0","0.0",,"11.7","1.1","  180","  170","14.8","17.9","    1",,,,"    1",,,"    1",,,,"    1",,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-02-28","7.0"," 1222"," 1222","0.0","0.0","0.0",,"11.1","0.6","  360","   10","12.5","14.3","    1",,,,"    1",,,,,,,"    1",,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-03-01","6.2"," 2231"," 1107","4.1","46.0","0.0",,"2.2","-1.7","   10","   20","9.8","11.6","    1",,,,,,,,,,"    1",,,"    1",,"    1",,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-03-02","9.8"," 1333"," 1333","8.6","130.0","127.0",,"-1.1","-8.3","  350","  360","16.5","20.1","    1","    1",,,,,,"    1","    1",,,,,"    1",,"    1",,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-03-03","7.4"," 1601"," 2006","0.0","0.0","178.0",,"-2.8","-10.6","  330","  310","10.3","12.5",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-03-04","4.3"," 1338"," 1337","0.0","0.0","152.0",,"1.1","-8.3","  270","  260","7.6","10.3",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-03-05","3.7"," 1905"," 1847","0.0","0.0","127.0",,"3.3","-7.2","  180","  180","9.8","11.6",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-03-06","4.2"," 2354"," 2354","0.0","0.0","76.0",,"7.2","2.2","  190","  200","8.0","9.4",,,,,,,,,,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-03-07","3.8"," 1836"," 1839","0.0","0.0","0.0",,"20.0","3.9","  170","  170","9.8","11.2",,,,,,,"    1","    1",,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-03-08","4.0"," 0842"," 0843","0.0","0.0","0.0",,"18.9","4.4","  340","  360","9.4","10.7","    1",,,,"    1",,,"    1",,,,"    1",,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-03-09","4.7"," 0851"," 1445","2.0","0.0","0.0",,"10.6","3.9","   60","  150","7.2","8.0","    1",,,,"    1",,,,,,"    1",,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-03-10","3.7"," 2110"," 2229","0.0","0.0","0.0",,"6.7","1.7","  140","  130","6.7","7.6",,,,,"    1",,,,,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-03-11","5.0"," 2335"," 2227","0.3","0.0","0.0",,"13.3","5.0","  330","  320","11.6","14.3","    1",,,,,,,,"    1",,"    1","    1",,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-03-12","7.3"," 0301"," 0223","0.0","0.0","0.0",,"7.2","0.6","  310","  330","13.4","16.5",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-03-13","3.6"," 0354"," 1229","0.0","0.0","0.0",,"2.8","-2.8","   20","  150","6.7","7.6",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-03-14","3.4"," 2158"," 2216","0.0","0.0","0.0",,"8.3","-0.6","  190","  190","6.3","7.2",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-03-15","2.1"," 0523"," 0522","0.0","0.0","0.0",,"8.9","4.4","  220","  220","4.0","4.5",,,,,,,,"    1",,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-03-16","3.7"," 1802"," 1729","0.0","0.0","0.0",,"10.6","1.1","   90","  100","8.9","10.3",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-03-17","3.4"," 1552"," 1551","0.0","0.0","0.0",,"9.4","1.7","  140","  140","5.8","6.3",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-03-18","6.2"," 1718"," 1718","0.0","0.0","0.0",,"12.2","1.1","  180","  180","11.2","13.0",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-03-19","3.0"," 2339",,"2.5","0.0","0.0",,"10.6","3.9","  350",,"7.2",,"    1",,,,"    1",,,,,,"    1",,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-03-20","4.9"," 2240"," 2227","0.5","3.0","0.0",,"7.8","1.1","  350","  350","7.6","10.7","    1",,,,,,,,,,"    1",,,"    1",,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-03-21","4.2"," 2135"," 2134","0.0","0.0","0.0",,"6.7","-1.7","  200","  190","6.3","7.2",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-03-22","6.4"," 1948"," 1946","0.0","0.0","0.0",,"14.4","0.0","  310","  310","11.2","14.8",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-03-23","6.9"," 2341"," 2340","0.0","0.0","0.0",,"7.2","-2.2","   10","   10","13.4","16.5",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-03-24","6.9"," 0001"," 0001","0.0","0.0","0.0",,"9.4","-2.2","  360","  360","13.4","16.1",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-03-25","3.7"," 1342"," 1341","0.0","0.0","0.0",,"8.9","-0.6","  170","  180","6.3","7.2",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-03-26","4.0"," 0747"," 0746","13.0","0.0","0.0",,"8.3","2.2","  180","  180","7.6","8.9","    1",,,,"    1",,,,,,"    1","    1",,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-03-27","3.3"," 2007"," 2010","0.0","0.0","0.0",,"16.1","5.6","  190","  190","7.2","8.0","    1",,,,,,,,,,"    1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-03-28","4.6"," 1745"," 1737","3.8","0.0","0.0",,"15.0","7.2","   70","   80","8.0","9.8","    1",,,,"    1",,,,,,"    1","    1",,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-03-29","3.4"," 2340"," 2339","14.0","0.0","0.0",,"12.2","8.3","  300","  300","7.2","8.0","    1","    1","    1",,"    1",,,,"    1",,,"    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-03-30","9.3"," 1650"," 1505","0.0","0.0","0.0",,"13.3","5.6","  310","  310","14.3","17.0",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-03-31","4.8"," 0430"," 0013","0.0","0.0","0.0",,"14.4","3.9","  320","  310","8.0","10.3",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-04-01","5.8"," 1626"," 1625","3.0","0.0","0.0",,"9.4","5.6","  100","  100","9.8","11.2","    1",,,,"    1",,,,,,"    1",,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-04-02","3.4"," 1549"," 1549","1.0","0.0","0.0",,"17.8","7.8","  110","  110","8.0","9.4","    1",,,,"    1",,,,,,"    1","    1",,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-04-03","8.5"," 2355"," 2330","18.5","0.0","0.0",,"15.6","8.9","  260","  240","16.1","19.7","    1","    1","    1",,"    1",,,,"    1",,"    1",,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-04-04","11.1"," 0752"," 0653","0.0","0.0","0.0",,"12.8","9.4","  260","  270","17.0","20.6",,,,,,,,,,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-04-05","6.7"," 0035"," 0035","0.0","0.0","0.0",,"18.9","7.8","  290","  290","13.4","17.0",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-04-06","4.3"," 0654"," 0610","18.8","0.0","0.0",,"11.7","6.7","   90","   80","9.8","12.5","    1",,"    1",,"    1",,,,,,"    1",,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-04-07","8.6"," 0407"," 0407","0.0","0.0","0.0",,"9.4","4.4","  260","  260","12.5","13.9","    1",,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-04-08","6.5"," 1123"," 1122","0.0","0.0","0.0",,"10.0","2.2","  240","  240","12.5","13.9",,,,,,,,,,,,,,"    1",,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-04-09","5.0"," 1506"," 1504","0.0","0.0","0.0",,"15.0","2.8","  170","  170","9.8","11.2",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-04-10","3.7"," 2333"," 1753","0.3","0.0","0.0",,"13.3","5.0","   20","   90","7.2","9.4","    1",,,,"    1",,,,,,"    1",,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-04-11","6.3"," 2257"," 2255","21.1","0.0","0.0",,"10.0","5.6","  330","  330","10.7","13.4","    1",,,,"    1",,,"    1",,,"    1",,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-04-12","9.2"," 1729"," 1547","0.0","0.0","0.0",,"10.0","2.8","  310","  310","14.3","17.9",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-04-13","5.3"," 1816"," 0902","0.0","0.0","0.0",,"14.4","1.7","  230","  310","9.4","11.2",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-04-14","4.4"," 1244"," 1239","4.6","0.0","0.0",,"10.0","7.2","  100","   90","8.0","9.8","    1",,,,"    1",,,"    1",,,"    1",,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-04-15","6.3"," 1155"," 1155","4.1","0.0","0.0",,"13.3","5.0","   50","   50","11.6","14.3","    1",,,"    1","    1",,,,,,"    1",,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-04-16","4.7"," 1057"," 1040","0.0","0.0","0.0",,"16.7","3.3","   50","   50","7.6","10.7",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-04-17","4.1"," 1600"," 1559","0.0","0.0","0.0",,"17.8","3.9","  180","  180","8.9","9.8",,,,,,,,,,,,,,,,,,,
